门店名称,省份,城市,城市等级,区域,周边1km小区数量,周边中小学数量(500m),周边交通枢纽数量(300m),商业配套数量(500m),商务办公数量(500m),餐饮店数量(500m),Cluster_ID,聚类标签,画像名称
味知香半成品菜稻香店,江苏省,无锡市,二线城市,滨湖区,61,4,2,17,0,158,0,1,商务综合型
味知香,江苏省,常州市,二线城市,天宁区,46,0,4,25,1,23,0,1,商务综合型
味知香,江苏省,常州市,二线城市,新北区,9,0,0,9,0,23,0,1,商务综合型
味知香,江苏省,常州市,二线城市,武进区,9,3,1,14,0,78,0,1,商务综合型
味知香(人和路店),江苏省,常州市,二线城市,新北区,15,4,1,23,1,123,0,1,商务综合型
味知香半成品菜(永宁北路店),江苏省,常州市,二线城市,天宁区,47,4,0,14,7,189,0,1,商务综合型
味知香(阳湖消费品综合市场店),江苏省,常州市,二线城市,武进区,64,4,3,33,2,126,3,4,成熟社区型
味知香半成品菜,江苏省,常州市,二线城市,钟楼区,41,2,1,17,4,107,0,1,商务综合型
味知香净菜,江苏省,常州市,二线城市,武进区,31,1,3,10,3,68,0,1,商务综合型
味知香半成品菜(福满园店),江苏省,常州市,二线城市,武进区,51,5,1,16,8,69,0,1,商务综合型
味知香半成品菜(御水景城店),江苏省,常州市,二线城市,溧阳市,31,1,0,11,0,37,0,1,商务综合型
味知香半成品菜(礼嘉百兴商贸城店),江苏省,常州市,二线城市,武进区,18,1,4,22,0,213,0,1,商务综合型
味知香世纪(花城店),江苏省,南通市,二线城市,崇川区,21,0,5,11,1,67,0,1,商务综合型
味知香(常青菜市场店),江苏省,南通市,二线城市,崇川区,21,1,2,12,2,58,0,1,商务综合型
味知香,江苏省,南通市,二线城市,崇川区,22,2,2,5,0,56,0,1,商务综合型
味知香金汇路店,江苏省,南通市,二线城市,通州区,15,0,0,6,0,16,0,1,商务综合型
味知香(光明路店),江苏省,南通市,二线城市,通州区,14,1,1,16,3,98,0,1,商务综合型
味知香半成品菜,江苏省,南通市,二线城市,通州区,9,1,0,13,2,41,0,1,商务综合型
味知香(启东店),江苏省,南通市,二线城市,启东市,30,2,1,16,3,39,0,1,商务综合型
味知香半成品菜(袁灶店),江苏省,南通市,二线城市,通州区,1,0,2,5,1,12,0,1,商务综合型
味知香半成品菜(职工新村南城南市场店),江苏省,南通市,二线城市,启东市,51,0,1,21,6,187,0,1,商务综合型
味知香(新城花园店),江苏省,扬州市,三线城市,邗江区,66,0,1,25,8,142,0,1,商务综合型
味知香,江苏省,扬州市,三线城市,江都区,92,4,3,36,4,175,3,4,成熟社区型
味知香(四季园农贸市场店),江苏省,扬州市,三线城市,邗江区,76,4,2,17,3,160,3,4,成熟社区型
味知香,江苏省,扬州市,三线城市,高邮市,77,4,1,21,8,133,3,4,成熟社区型
味知香(广州路农贸市场店),江苏省,扬州市,三线城市,江都区,40,1,2,5,1,67,0,1,商务综合型
味知香半成品菜(邮安路店),江苏省,扬州市,三线城市,高邮市,60,3,0,21,2,122,0,1,商务综合型
味知香(门前大街店),江苏省,扬州市,三线城市,宝应县,25,2,1,19,1,35,0,1,商务综合型
味知香半成品菜(嵩山路店),江苏省,扬州市,三线城市,江都区,47,4,1,10,2,43,0,1,商务综合型
味知香半成品菜(宝应世纪园店),江苏省,扬州市,三线城市,宝应县,43,2,0,21,6,85,0,1,商务综合型
味知香(宝应园丁路店),江苏省,扬州市,三线城市,宝应县,66,4,6,21,3,216,3,4,成熟社区型
味知香半成品菜(北奥康城店),江苏省,扬州市,三线城市,宝应县,22,1,2,20,2,97,0,1,商务综合型
北海社区菜园子,江苏省,扬州市,三线城市,高邮市,77,4,0,21,8,134,0,1,商务综合型
味知香(兴业店),江苏省,泰州市,三线城市,海陵区,19,1,1,6,0,27,0,1,商务综合型
味知香引凤店,江苏省,泰州市,三线城市,海陵区,17,4,3,12,3,78,0,1,商务综合型
味知香,江苏省,泰州市,三线城市,兴化市,32,4,6,9,1,43,3,4,成熟社区型
味知香,江苏省,泰州市,三线城市,兴化市,22,2,0,2,0,11,0,1,商务综合型
味知香半成品菜(姜堰店),江苏省,泰州市,三线城市,姜堰区,61,2,0,26,4,126,0,1,商务综合型
味知香半成品菜(复兴街店),江苏省,泰州市,三线城市,泰兴市,88,4,6,25,6,179,3,4,成熟社区型
味知香(施耐庵店),江苏省,泰州市,三线城市,兴化市,27,1,4,9,3,118,0,1,商务综合型
味知香(金泰农副产品批发市场店),江苏省,泰州市,三线城市,泰兴市,55,1,3,17,1,44,0,1,商务综合型
味知香半成品菜(城北店),江苏省,泰州市,三线城市,兴化市,70,3,6,10,4,90,3,4,成熟社区型
味知香特许经营店(黄桥店),江苏省,泰州市,三线城市,泰兴市,33,4,2,21,1,185,0,1,商务综合型
